"t" "Tt" "Vt" "dt" "Vdt"
32045 4.5 0.23703 20 4.99999999999112e-07
32065 4.5 0.23702 20 -4.99999999999112e-07
32085 4.5 0.2372 20 8.99999999999929e-06
32105 4.5 0.2375 20 1.49999999999997e-05
32125 4.5 0.23759 20 4.50000000000034e-06
32145 4.5 0.23758 20 -4.99999999999112e-07
32165 4.5 0.23745 20 -6.50000000000095e-06
32185 4.5 0.23744 20 -4.99999999999112e-07
32205 4.5 0.23746 20 9.99999999999612e-07
32225 4.5 0.23736 20 -5.00000000000084e-06
32245 4.5 0.23713 20 -1.1499999999999e-05
32265 4.5 0.23686 20 -1.3500000000001e-05
32285 4.5 0.23676 20 -4.99999999999945e-06
32305 4.5 0.23682 20 3.00000000000022e-06
32325 4.5 0.237 20 8.99999999999929e-06
32345 4.5 0.23722 20 1.09999999999999e-05
32365 4.5 0.23724 20 1.000000000001e-06
32385 4.5 0.23723 20 -5.000000000005e-07
32405 4.5 0.23722 20 -5.000000000005e-07
32425 4.5 0.23706 20 -7.99999999999967e-06
32445 4.5 0.23704 20 -9.99999999999612e-07
32465 4.5 0.23712 20 3.99999999999984e-06
32485 4.5 0.23733 20 1.05000000000008e-05
32505 4.5 0.23754 20 1.04999999999994e-05
32525 4.5 0.23751 20 -1.50000000000011e-06
32545 4.5 0.23739 20 -6.00000000000045e-06
32565 4.5 0.2372 20 -9.49999999999979e-06
32585 4.5 0.23711 20 -4.50000000000034e-06
32605 4.5 0.23697 20 -7.00000000000006e-06
32625 4.5 0.23677 20 -9.9999999999989e-06
32645 4.5 0.23688 20 5.49999999999995e-06
32665 4.5 0.23693 20 2.49999999999972e-06
32685 4.5 0.23691 20 -9.99999999999612e-07
32705 4.5 0.23697 20 2.99999999999884e-06
32725 4.5 0.23704 20 3.50000000000072e-06
32745 4.5 0.23711 20 3.49999999999934e-06
32765 4.5 0.2371 20 -4.99999999999112e-07
32785 4.5 0.23701 20 -4.50000000000034e-06
32805 4.5 0.23685 20 -7.99999999999967e-06
32825 4.5 0.23669 20 -7.99999999999967e-06
32845 4.5 0.23665 20 -2.00000000000061e-06
32865 4.5 0.23644 20 -1.04999999999994e-05
32885 4.5 0.2364 20 -2.00000000000061e-06
32905 4.5 0.23653 20 6.49999999999956e-06
32925 4.5 0.23652 20 -4.99999999999112e-07
32945 4.5 0.23649 20 -1.50000000000011e-06
32965 4.5 0.23651 20 9.99999999999612e-07
32985 4.5 0.23644 20 -3.49999999999934e-06
33005 4.5 0.23654 20 4.99999999999945e-06
33025 4.5 0.23671 20 8.50000000000017e-06
33045 4.5 0.23694 20 1.15000000000004e-05
33065 4.5 0.23719 20 1.25e-05
33085 4.5 0.23734 20 7.49999999999917e-06
33105 4.5 0.23727 20 -3.49999999999934e-06
33125 4.5 0.23695 20 -1.60000000000007e-05
33145 4.5 0.23672 20 -1.1499999999999e-05
33165 4.5 0.2367 20 -1.000000000001e-06
33185 4.5 0.23663 20 -3.49999999999934e-06
33205 4.5 0.2367 20 3.49999999999934e-06
33225 4.5 0.23664 20 -3.00000000000022e-06
33245 4.5 0.2366 20 -1.99999999999922e-06
33265 4.5 0.23678 20 8.99999999999929e-06
33285 4.5 0.23686 20 3.99999999999984e-06
33305 4.5 0.23675 20 -5.49999999999995e-06
33325 4.5 0.23651 20 -1.19999999999995e-05
33345 4.5 0.23632 20 -9.49999999999979e-06
33365 4.5 0.23618 20 -7.00000000000006e-06
33385 4.5 0.23599 20 -9.49999999999979e-06
33405 4.5 0.23604 20 2.49999999999972e-06
33425 4.5 0.23623 20 9.49999999999979e-06
33445 4.5 0.23646 20 1.15000000000004e-05
33465 4.5 0.23663 20 8.50000000000017e-06
33485 4.5 0.2366 20 -1.50000000000011e-06
33505 4.5 0.23652 20 -3.99999999999984e-06
33525 4.5 0.23654 20 9.99999999999612e-07
33545 4.5 0.23659 20 2.49999999999972e-06
33565 4.5 0.23669 20 5.00000000000084e-06
33585 4.5 0.23682 20 6.49999999999956e-06
33605 4.5 0.23704 20 1.09999999999999e-05
33625 4.5 0.2371 20 3.00000000000022e-06
33645 4.5 0.23684 20 -1.30000000000005e-05
33665 4.5 0.23665 20 -9.49999999999979e-06
33685 4.5 0.23656 20 -4.50000000000034e-06
33705 4.5 0.23662 20 3.00000000000022e-06
33725 4.5 0.23671 20 4.50000000000034e-06
33745 4.5 0.23676 20 2.49999999999972e-06
33765 4.5 0.23688 20 6.00000000000045e-06
33785 4.5 0.23693 20 2.49999999999972e-06
33805 4.5 0.23709 20 7.99999999999967e-06
33825 4.5 0.23743 20 1.70000000000003e-05
33845 4.5 0.23757 20 7.00000000000006e-06
33865 4.5 0.23757 20 0
33885 4.5 0.2376 20 1.50000000000011e-06
33905 4.5 0.23758 20 -9.99999999999612e-07
33925 4.5 0.23747 20 -5.50000000000134e-06
33945 4.5 0.23712 20 -1.74999999999995e-05
33965 4.5 0.23691 20 -1.04999999999994e-05
33985 4.5 0.23672 20 -9.49999999999979e-06
34005 4.5 0.23664 20 -4.00000000000122e-06
34025 4.5 0.23679 20 7.50000000000056e-06
34045 4.5 0.23701 20 1.09999999999999e-05
34065 4.5 0.23734 20 1.64999999999998e-05
34085 4.5 0.23747 20 6.49999999999956e-06
34105 4.5 0.2373 20 -8.49999999999879e-06
34125 4.5 0.23693 20 -1.85000000000005e-05
34145 4.5 0.2366 20 -1.64999999999998e-05
34165 4.5 0.23659 20 -5.000000000005e-07
34185 4.5 0.23677 20 9.00000000000067e-06
34205 4.5 0.23685 20 3.99999999999984e-06
34225 4.5 0.23713 20 1.40000000000001e-05
34245 4.5 0.23733 20 1.00000000000003e-05
34265 4.5 0.23708 20 -1.25e-05
34285 4.5 0.23678 20 -1.50000000000011e-05
34305 4.5 0.23657 20 -1.04999999999994e-05
34325 4.5 0.23656 20 -5.000000000005e-07
34345 4.5 0.23649 20 -3.49999999999934e-06
34365 4.5 0.23652 20 1.50000000000011e-06
34385 4.5 0.23652 20 0
34405 4.5 0.23639 20 -6.50000000000095e-06
34425 4.5 0.23633 20 -2.99999999999884e-06
34445 4.5 0.23622 20 -5.49999999999995e-06
34465 4.5 0.23606 20 -8.00000000000106e-06
34485 4.5 0.23587 20 -9.49999999999979e-06
34505 4.5 0.23566 20 -1.04999999999994e-05
34525 4.5 0.23554 20 -6.00000000000045e-06
34545 4.5 0.23554 20 0
34565 4.5 0.23556 20 9.99999999999612e-07
34585 4.5 0.23568 20 6.00000000000045e-06
34605 4.5 0.23583 20 7.50000000000056e-06
34625 4.5 0.23606 20 1.1499999999999e-05
34645 4.5 0.23621 20 7.50000000000056e-06
34665 4.5 0.23628 20 3.49999999999934e-06
34685 4.5 0.23645 20 8.50000000000017e-06
34705 4.5 0.23654 20 4.50000000000034e-06
34725 4.5 0.23656 20 9.99999999999612e-07
34745 4.5 0.23651 20 -2.49999999999972e-06
34765 4.5 0.23647 20 -1.99999999999922e-06
34785 4.5 0.23665 20 8.99999999999929e-06
34805 4.5 0.23686 20 1.04999999999994e-05
34825 4.5 0.23702 20 8.00000000000106e-06
34845 4.5 0.23717 20 7.49999999999917e-06
34865 4.5 0.23715 20 -9.99999999999612e-07
34885 4.5 0.23713 20 -9.99999999999612e-07
34905 4.5 0.23694 20 -9.49999999999979e-06
34925 4.5 0.23665 20 -1.45000000000006e-05
34945 4.5 0.23642 20 -1.15000000000004e-05
34965 4.5 0.23629 20 -6.49999999999956e-06
34985 4.5 0.23647 20 9.00000000000067e-06
35005 4.5 0.23674 20 1.34999999999996e-05
35025 4.5 0.23693 20 9.49999999999979e-06
35045 4.5 0.23711 20 8.99999999999929e-06
35065 4.5 0.23689 20 -1.09999999999999e-05
35085 4.5 0.23656 20 -1.64999999999998e-05
35105 4.5 0.23618 20 -1.89999999999996e-05
35125 4.5 0.23578 20 -2.00000000000006e-05
35145 4.5 0.23563 20 -7.49999999999917e-06
35165 4.5 0.23571 20 3.99999999999984e-06
35185 4.5 0.23579 20 3.99999999999984e-06
35205 4.5 0.23598 20 9.49999999999979e-06
35225 4.5 0.23619 20 1.05000000000008e-05
35245 4.5 0.23655 20 1.8e-05
35265 4.5 0.23668 20 6.49999999999956e-06
35285 4.5 0.23656 20 -6.00000000000045e-06
35305 4.5 0.23634 20 -1.09999999999999e-05
35325 4.5 0.2363 20 -1.99999999999922e-06
35345 4.5 0.23653 20 1.1499999999999e-05
